created_at,Polarity,Subjectivity,Aggregate Score
2020/8/20,0.0,0.0,0.0
2020/8/20,0.5,0.5,0.5
2020/8/20,-0.1555555555555555,0.2888888888888889,0.0666666666666666
2020/8/20,-0.1,1.0,0.45
2020/8/20,-0.0833333333333333,0.375,0.1458333333333333
2020/8/20,0.0,0.0,0.0
2020/8/20,0.1555555555555555,0.2111111111111111,0.1833333333333333
2020/8/20,0.0,0.0,0.0
2020/8/20,1.0,1.0,1.0
2020/8/20,0.0714285714285714,0.4892857142857143,0.2803571428571428
2020/8/20,0.2556818181818182,0.7272727272727273,0.4914772727272727
2020/8/20,0.3999999999999999,0.6666666666666666,0.5333333333333333
2020/8/20,0.0,0.0,0.0
2020/8/20,-0.52,0.78,0.13
2020/8/20,-0.8,0.9,0.0499999999999999
2020/8/20,0.0,0.0,0.0
2020/8/20,-0.1,0.4,0.15
2020/8/20,0.1,0.3833333333333333,0.2416666666666666
2020/8/20,0.0,0.0,0.0
2020/8/20,0.1333333333333333,0.2166666666666666,0.175
2020/8/20,0.0681818181818181,0.2606060606060606,0.1643939393939394
2020/8/20,-0.1555555555555555,0.2888888888888889,0.0666666666666666
2020/8/20,0.103125,0.375,0.2390625
2020/8/20,0.45,0.5166666666666667,0.4833333333333334
2020/8/20,0.3999999999999999,0.4666666666666666,0.4333333333333333
2020/8/20,-0.0777777777777777,0.1444444444444444,0.0333333333333333
2020/8/20,0.0,0.5,0.25
2020/8/20,0.0,0.0,0.0
2020/8/20,0.0,0.0,0.0
2020/8/20,0.2272727272727272,0.5454545454545454,0.3863636363636363
2020/8/20,-0.2,0.4,0.1
2020/8/20,0.0,0.125,0.0625
2020/8/20,0.4,0.45,0.425
2020/8/20,0.25,0.25,0.25
2020/8/20,0.0875,0.4625,0.275
2020/8/20,0.35,0.55,0.45
2020/8/20,-0.78,1.0,0.1099999999999999
2020/8/20,0.5,1.0,0.75
2020/8/20,0.1,0.3,0.2
2020/8/20,0.5,0.5,0.5
2020/8/20,0.1,0.3,0.2
2020/8/20,0.375,0.4166666666666666,0.3958333333333333
2020/8/20,0.45,0.75,0.6
2020/8/20,0.0,0.3,0.15
2020/8/20,0.0303030303030303,0.356060606060606,0.1931818181818181
2020/8/20,0.5,0.9,0.7
2020/8/20,0.0,0.0,0.0
2020/8/20,-0.6,1.0,0.2
2020/8/20,0.0,0.0333333333333333,0.0166666666666666
2020/8/20,0.0,0.0,0.0
2020/8/20,0.3136363636363636,0.7727272727272727,0.5431818181818182
2020/8/20,0.0,0.4,0.2
2020/8/20,0.0,0.0,0.0
2020/8/20,0.0681818181818181,0.7272727272727273,0.3977272727272727
2020/8/20,0.3571428571428571,0.5714285714285714,0.4642857142857143
2020/8/20,0.2272727272727272,0.5454545454545454,0.3863636363636363
2020/8/20,0.1,0.1,0.1
2020/8/20,0.0,0.0,0.0
2020/8/20,0.0,0.0,0.0
2020/8/20,0.0,0.4,0.2
2020/8/20,-0.55,0.8,0.125
2020/8/20,-0.1659090909090909,0.45,0.1420454545454545
2020/8/20,-0.3,0.3,0.0
2020/8/20,0.4,0.4,0.4
2020/8/20,0.0208333333333333,0.2179487179487179,0.1193910256410256
2020/8/20,-0.125,0.375,0.125
2020/8/20,0.05,0.15,0.1
2020/8/20,0.2272727272727272,0.5454545454545454,0.3863636363636363
2020/8/20,-0.4318181818181818,0.7272727272727273,0.1477272727272727
2020/8/20,0.1166666666666666,0.3305555555555555,0.2236111111111111
2020/8/20,0.0,0.0,0.0
2020/8/20,0.0,0.0,0.0
2020/8/20,0.3,0.575,0.4375
2020/8/20,-0.1,0.25,0.075
2020/8/20,0.3,0.4,0.35
2020/8/20,0.0,0.0,0.0
2020/8/20,0.175,0.25,0.2125
2020/8/20,-0.5,0.75,0.125
2020/8/20,0.0,0.0666666666666666,0.0333333333333333
2020/8/20,0.0,0.0,0.0
2020/8/20,0.25,0.375,0.3125
2020/8/20,0.2666666666666666,0.25,0.2583333333333333
2020/8/20,0.0,0.0,0.0
